,Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),Total time (s),RUL
1,1.0,2604.0,1186.4955,3.666,3.213,5424.991,6706.02,10772.99,14663.71,1107
2,2.0,7384.99,1228.4959999999992,4.242,3.221,5488.0,6727.01,10492.99,19099.870000000003,1106
3,3.0,7364.0,1165.5190000000002,4.244,3.225,5480.989000000001,6720.0,10367.01,18957.25,1105
4,4.0,7356.99,1141.0270000000019,4.246,3.227,5481.026999999995,6720.0,10311.01,18885.28,1104
6,6.0,64974.56,1143.3286666666536,4.288,3.389,5460.0,53233.86,56789.86,104143.90000000001,1102
7,7.0,3328.29,1150.7197857142892,3.687,3.498,5024.996499999979,5970.88,5970.88,9499.809999999998,1101
8,8.0,6026.4,1190.3641904761898,4.024,3.489,5040.0,5974.37,5974.37,12181.540000000008,1100
9,9.0,6030.05,1193.5779047618853,4.026,3.491,5024.997333333333,5955.68,5955.68,12166.529999999999,1099
10,10.0,6007.93,1209.319356321881,4.024,3.495,5009.994666666666,5940.23,5940.23,12128.789999999979,1098
11,11.0,425336.62,250805.43700000003,4.267,3.103,221138.76900000003,87344.19,432558.17,465049.4,1097
12,12.0,2250.94,760.8000000000466,3.996,3.914,1863.3279999999795,2843.33,6276.9,8542.839999999967,1096
13,13.0,2250.24,765.5999999999767,4.0,3.412,5097.343999999925,6077.34,9477.79,11733.119999999995,1095
14,14.0,2247.87,760.7989999999991,4.0,3.412,5097.407999999938,6077.41,9477.73,11730.790000000037,1094
15,15.0,2246.75,760.7999999999302,4.001,3.411,5090.398000000045,6070.4,9486.82,11738.589999999967,1093
16,16.0,2244.99,760.8320000000531,4.002,3.41,5090.367000000086,6070.37,9490.14,11740.19000000006,1092
17,17.0,2242.37,758.3979999999283,4.002,3.41,5083.3279999999795,6063.33,9467.42,11714.819999999949,1091
18,18.0,2240.0,756.0,4.003,3.41,5076.320000000065,6056.32,9448.51,11693.5,1090
19,19.0,2237.34,753.6010000000242,4.002,3.41,5069.343999999925,6049.34,9456.7,11699.080000000075,1089
20,20.0,2234.47,748.7970000000205,4.003,3.411,5062.335999999894,6035.33,9437.15,11676.669999999925,1088
21,21.0,2232.1,746.3990000000922,4.003,3.412,5055.389999999898,6028.38,9464.16,11701.310000000056,1087
22,22.0,2228.83,744.0,4.003,3.413,5041.342999999877,6021.34,9407.94,11641.910000000033,1086
23,23.0,2226.44,739.2029999999795,4.004,3.413,5037.746000000043,6014.24,9394.82,11626.319999999949,1085
24,24.0,2225.38,739.2029999999795,4.004,3.413,5027.359000000055,6007.36,9420.7,11651.180000000051,1084
25,25.0,2222.94,734.405999999959,4.004,3.414,5020.3129999999655,6000.31,9387.17,11615.109999999986,1083
26,26.0,2221.09,734.390000000014,4.004,3.413,5013.375,5993.38,9400.92,11627.04999999993,1082
27,27.0,2218.02,729.6100000001024,4.004,3.414,5006.375,5986.38,9381.5,11604.530000000028,1081
28,28.0,2216.39,729.5939999999246,4.004,3.415,4999.358999999822,5979.36,9386.84,11608.390000000014,1080
29,29.0,2213.72,724.7970000001369,4.004,3.415,4992.344000000157,5972.34,9386.08,11604.859999999986,1079
30,30.0,2212.42,722.4070000001229,4.004,3.417,4985.344000000157,5958.33,9360.03,11577.640000000014,1078
