,Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),Total time (s),RUL
1,1.0,2562.02,1140.991,3.666,3.219,5452.993,6740.99,10836.0,14684.7,1107
2,2.0,7340.51,1143.3280000000013,4.245,3.228,5480.991999999995,6720.0,10520.99,19076.679999999997,1106
3,3.0,7315.01,1081.4879999999976,4.248,3.23,5467.007000000005,6712.99,10408.99,18943.510000000002,1105
4,4.0,7308.0,1053.4880000000048,4.249,3.233,5467.011000000006,6713.0,10318.02,18843.199999999997,1104
6,6.0,64791.61,1064.0,4.289,3.411,5446.015999999989,53156.1,56684.1,103926.16999999998,1102
7,7.0,3333.09,986.7790000000095,3.699,3.485,5095.374153846147,6026.37,6026.37,9560.070000000007,1101
8,8.0,6086.08,997.7599137930956,4.047,3.473,5109.218692307681,6032.86,6032.86,12299.550000000017,1100
9,9.0,6088.19,1000.8640000000014,4.049,3.474,5097.867428571422,6017.47,6017.47,12286.23999999999,1099
10,10.0,6069.12,1006.1619907834393,4.047,3.478,5088.453461538447,6006.72,6006.72,12256.540000000008,1098
11,11.0,416887.45,245908.90700000006,4.269,3.13,219153.22600000002,423295.63,423295.63,455786.95000000007,1097
12,12.0,2278.75,928.8000000000466,4.036,3.903,1947.359999999986,2920.35,6058.62,8352.409999999916,1096
13,13.0,2276.26,923.9670000000624,4.04,3.362,5251.391999999993,6217.41,9340.99,11622.180000000051,1095
14,14.0,2272.8,919.1989999999059,4.04,3.363,5244.3539999998175,6217.38,9285.73,11563.650000000023,1094
15,15.0,2270.59,916.8009999998612,4.041,3.362,5237.375,6210.37,9282.18,11557.819999999949,1093
16,16.0,2268.04,912.0,4.041,3.363,5230.33600000001,6203.33,9270.69,11543.75,1092
17,17.0,2265.54,907.1959999999963,4.042,3.363,5223.390000000014,6196.38,9262.3,11532.920000000042,1091
18,18.0,2262.94,904.8049999999348,4.042,3.363,5216.351999999955,6189.38,9246.59,11514.529999999912,1090
19,19.0,2259.65,902.405999999959,4.042,3.364,5209.383000000031,6175.37,9217.19,11481.830000000075,1089
20,20.0,2257.6,897.5929999999935,4.042,3.365,5202.367000000086,6168.35,9220.38,11483.0,1088
21,21.0,2255.23,892.7970000000205,4.042,3.365,5195.3589999999385,6161.38,9218.4,11478.660000000033,1087
