,Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),Total time (s),RUL
1,1.0,2566.08,1161.9829999999997,3.667,3.214,5452.992000000001,6740.99,10938.33,14782.11,1107
2,2.0,7326.91,1161.9839999999967,4.243,3.225,5480.991999999995,6720.0,10620.32,19162.559999999998,1106
3,3.0,7293.63,1092.0,4.245,3.232,5452.991999999998,6699.01,10481.69,18990.75,1105
4,4.0,7288.38,1068.6719999999987,4.247,3.235,5459.995999999992,6706.01,10405.73,18909.509999999995,1104
6,6.0,64547.56,1075.65866666667,4.288,3.241,5452.992000000013,107277.51,107277.51,107345.30999999998,1102
7,7.0,3349.92,968.1726060606015,3.702,3.479,5109.218230769242,6040.42,6040.42,9591.100000000006,1101
8,8.0,6102.62,977.6000000000058,4.051,3.471,5116.140307692345,6035.49,6035.49,12318.690000000002,1100
9,9.0,6103.87,977.6017241379304,4.053,3.473,5102.296615384606,6017.44,6017.44,12302.020000000019,1099
10,10.0,6086.82,994.0024888888875,4.051,3.477,5091.419428571418,6005.5,6005.5,12273.079999999987,1098
11,11.0,423039.2,250320.39,4.269,3.136,220809.88700000002,429173.01,429173.01,461664.19999999995,1097
12,12.0,2275.2,936.0,4.043,3.901,1954.3359999998938,2927.33,6071.49,8361.98999999999,1096
13,13.0,2273.79,933.5999999999767,4.047,3.355,5254.86400000006,6224.35,9353.12,11631.96000000008,1095
14,14.0,2270.11,928.8009999998612,4.047,3.355,5254.89599999995,6224.38,9298.46,11573.699999999953,1094
15,15.0,2267.3,926.3990000000922,4.048,3.355,5244.352999999886,6217.38,9305.54,11577.859999999986,1093
16,16.0,2265.12,921.6009999999078,4.049,3.355,5237.344000000041,6210.34,9283.52,11553.660000000033,1092
17,17.0,2262.65,919.1990000000224,4.049,3.357,5233.875,6203.36,9281.54,11549.339999999967,1091
18,18.0,2259.91,914.3989999999758,4.049,3.356,5223.359999999986,6196.35,9255.62,11520.45000000007,1090
19,19.0,2257.31,912.0,4.049,3.356,5216.351999999955,6189.38,9265.79,11528.130000000005,1089
20,20.0,2254.62,907.204000000027,4.049,3.357,5209.25,6182.24,9240.35,11500.029999999912,1088
21,21.0,2252.45,904.7970000000205,4.049,3.358,5202.304000000004,6175.3,9250.82,11508.320000000065,1087
22,22.0,2250.34,904.7969999999041,4.049,3.359,5195.359000000055,6168.35,9242.56,11497.920000000042,1086
23,23.0,2245.25,900.0,4.049,3.359,5188.350999999908,6161.38,9244.69,11495.04999999993,1085
24,24.0,2246.45,900.0,4.05,3.36,5188.234000000055,6154.25,9207.52,11459.119999999995,1084
25,25.0,2245.28,897.5929999999935,4.05,3.359,5181.375,6154.36,9221.16,11471.540000000037,1083
26,26.0,2243.02,895.2029999999795,4.05,3.359,5174.375,6147.36,9199.48,11447.540000000037,1082
27,27.0,2241.41,892.795999999973,4.05,3.361,5167.375,6140.36,9191.81,11438.389999999898,1081
28,28.0,2240.0,890.405999999959,4.049,3.361,5160.344000000041,6133.38,9184.42,11429.350000000093,1080
29,29.0,2238.17,890.3910000000615,4.05,3.361,5160.390999999945,6133.41,9198.44,11441.669999999925,1079
30,30.0,2236.52,888.0,4.05,3.361,5153.3910000000615,6126.38,9159.78,11401.340000000084,1078
31,31.0,2235.73,888.0,4.05,3.362,5146.344000000041,6119.33,9192.64,11433.439999999944,1077
32,32.0,2233.47,885.609000000055,4.05,3.361,5146.3589999999385,6112.34,9152.89,11391.420000000042,1076
33,33.0,2232.03,885.594000000041,4.05,3.361,5139.359000000055,6112.34,9150.2,11387.23999999999,1075
34,34.0,2230.84,883.234000000055,4.05,3.362,5135.883000000031,6105.41,9170.05,11405.919999999925,1074
35,35.0,2228.47,878.405999999959,4.03,3.569,5096.344000000041,6069.0,9195.62,54628.5,1073
36,36.0,2234.94,876.0,4.046,3.651,5097.375,6077.38,9214.34,11464.75,1072
37,37.0,2235.78,880.780999999959,4.049,3.365,5139.375,6112.38,9176.91,11417.780000000028,1071
38,38.0,2233.66,878.4060000000754,4.05,3.363,5146.3120000000345,6112.28,9192.72,11431.5,1070
39,39.0,2230.59,876.0,4.049,3.364,5132.313000000198,6105.34,9164.84,11400.470000000088,1069
40,40.0,2228.0,873.5939999998081,4.049,3.364,5125.375,6098.38,9160.84,11393.899999999907,1068
41,41.0,2225.19,873.625,4.049,3.366,5118.375,6091.38,9146.94,11377.159999999916,1067
42,42.0,2223.62,871.188000000082,4.049,3.366,5111.375,6084.38,9146.94,11375.620000000112,1066
43,43.0,2221.56,871.2190000002738,4.049,3.366,5104.342999999877,6077.38,9123.84,11350.469999999972,1065
44,44.0,2220.12,868.813000000082,4.049,3.366,5097.343999999808,6070.34,9128.28,11353.439999999944,1064
45,45.0,2218.28,868.813000000082,4.049,3.367,5090.313000000082,6063.28,9129.06,11352.440000000177,1063
46,46.0,2215.88,866.405999999959,4.049,3.367,5083.344000000274,6056.38,9108.91,11329.839999999851,1062
47,47.0,2214.19,864.0,4.049,3.368,5076.313000000315,6049.34,9101.56,11320.810000000056,1061
48,48.0,2212.53,861.625,4.048,3.369,5069.438000000315,6042.44,9101.44,11324.909999999916,1060
49,49.0,2211.03,861.594000000041,4.048,3.369,5062.405999999959,6042.41,9101.28,11317.380000000121,1059
50,50.0,2209.88,861.5940000002738,4.048,3.369,5062.375,6035.34,9092.22,11307.060000000056,1058
51,51.0,2208.41,859.155999999959,4.048,3.37,5058.875,6035.38,9085.34,11298.75,1057
52,52.0,2207.22,856.811999999918,4.049,3.37,5055.282000000123,6028.28,9092.38,11304.689999999944,1056
53,53.0,2205.31,856.813000000082,4.048,3.37,5048.311999999685,6021.34,9085.41,11295.780000000028,1055
54,54.0,2203.88,852.0,4.048,3.371,5041.313000000082,6014.31,9112.38,11321.179999999935,1054
