,Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),Total time (s),RUL
1,1.0,2609.47,1371.9999999999998,3.65,3.228,5348.0,6678.02,11078.56,14963.45,1102
2,2.0,7380.38,1435.0080000000053,4.228,3.242,5418.0170000000035,6684.99,10792.29,19388.289999999997,1101
3,3.0,7343.91,1341.6640000000043,4.231,3.253,5396.991999999998,6664.0,10664.9,19224.1,1100
4,4.0,7325.25,1294.975999999995,4.232,3.254,5383.008000000009,6650.02,10587.33,19127.87000000001,1099
6,6.0,64950.02,1291.5040000000008,4.282,3.261,5383.014999999999,107847.48,107847.48,107915.35999999999,1097
7,7.0,3240.0,1017.2489808429091,3.698,3.485,5142.8708571429015,6077.57,6077.57,9584.860000000015,1096
8,8.0,6044.13,1041.6580555555702,4.047,3.476,5149.273928571405,6075.29,6075.29,12300.089999999997,1095
9,9.0,6049.02,1044.9890000000014,4.05,3.477,5136.415714285715,6058.21,6058.21,12287.940000000002,1094
10,10.0,6029.44,1061.3824137930933,4.047,3.481,5123.058461538458,6029.98,6029.98,12253.470000000001,1093
11,11.0,425621.48,173423.625,4.27,3.119,221423.47699999996,432817.94,432817.94,465309.31999999995,1092
12,12.0,2262.69,902.4000000000233,4.039,3.9,1982.3680000000168,2962.37,6336.54,8614.340000000084,1091
13,13.0,2262.21,904.8010000000941,4.043,3.365,5258.33600000001,6238.34,9623.01,11890.429999999935,1090
14,14.0,2260.06,902.4000000000233,4.044,3.361,5265.344000000157,6238.34,9600.77,11865.890000000014,1089
15,15.0,2259.04,902.3980000000447,4.045,3.361,5258.337999999989,6238.34,9623.81,11887.900000000023,1088
16,16.0,2257.44,902.3980000000447,4.046,3.36,5251.359999999986,6231.36,9612.67,11875.170000000042,1087
17,17.0,2255.04,897.6019999999553,4.047,3.36,5247.824000000022,6224.32,9591.33,11855.79999999993,1086
18,18.0,2252.03,892.8049999999348,4.048,3.361,5244.351999999955,6217.38,9561.34,11818.599999999977,1085
19,19.0,2249.51,890.3979999999283,4.048,3.361,5230.335999999894,6210.34,9563.33,11819.900000000023,1084
20,20.0,2247.68,885.6009999999078,4.049,3.361,5223.358999999822,6203.36,9629.34,11882.080000000075,1083
21,21.0,2244.2,880.7969999999041,4.049,3.362,5216.352000000072,6189.38,9553.92,11803.139999999898,1082
22,22.0,2242.47,878.3989999999758,4.049,3.363,5202.366999999853,6182.37,9535.36,11783.71000000008,1081
23,23.0,2240.48,876.0,4.049,3.364,5202.359000000055,6175.36,9518.5,11764.109999999986,1080
24,24.0,2238.56,876.0,4.049,3.363,5195.3279999999795,6175.33,9527.52,11771.119999999995,1079
25,25.0,2236.36,871.2029999999795,4.049,3.364,5188.311999999918,6168.31,9517.69,11759.140000000014,1078
26,26.0,2234.02,868.8120000000345,4.049,3.364,5181.343999999925,6161.34,9502.47,11741.469999999972,1077
27,27.0,2232.2,866.4070000000065,4.049,3.366,5174.359999999986,6154.36,9524.61,11761.770000000019,1076
