,Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),Total time (s),RUL
1,1.0,2590.98,1154.976,3.667,3.224,5452.991999999999,6727.01,10819.42,14685.66,1107
2,2.0,7330.72,1164.319999999996,4.242,3.231,5474.014999999999,6712.99,10511.29,19057.350000000002,1106
3,3.0,7314.4,1102.4800000000032,4.245,3.233,5467.008000000002,6712.99,10443.3,18972.989999999998,1105
4,4.0,7312.0,1081.4879999999976,4.246,3.23,5467.0039999999935,6712.99,10380.74,18907.940000000002,1104
6,6.0,64760.13,1092.0,4.288,3.236,5467.008000000002,107472.07,107472.07,107539.94000000002,1102
7,7.0,3324.58,1013.3345185185317,3.7,3.481,5143.832461538492,6080.19,6080.19,9605.539999999979,1101
8,8.0,6069.54,1032.1789999999746,4.048,3.47,5157.6802307692415,6084.57,6084.57,12334.779999999999,1100
9,9.0,6072.77,1033.1766411290446,4.05,3.473,5142.846285714273,6066.98,6066.98,12320.380000000005,1099
10,10.0,6051.91,1041.6574814814667,4.048,3.476,5129.984999999986,6053.76,6053.76,12286.369999999995,1098
11,11.0,424979.45,84914.59399999992,4.27,3.12,221120.93300000002,87407.69,431876.65,464367.87,1097
12,12.0,2268.38,890.3999999999069,4.04,3.9,1982.3360000001267,2969.34,6272.22,8555.619999999995,1096
13,13.0,2267.87,892.7989999999991,4.044,3.37,5265.344000000157,6252.32,9548.54,11821.469999999972,1095
14,14.0,2265.82,892.8009999998612,4.045,3.369,5265.375,6252.35,9545.25,11816.19000000006,1094
15,15.0,2263.75,890.3979999999283,4.045,3.368,5258.36950000003,6245.38,9513.41,11782.209999999963,1093
16,16.0,2261.41,890.3979999999283,4.046,3.367,5258.371000000043,6238.37,9504.77,11771.229999999981,1092
17,17.0,2259.62,885.5709999999963,4.047,3.367,5251.389999999898,6231.39,9505.69,11770.329999999958,1091
18,18.0,2256.58,883.1949999999488,4.048,3.368,5244.321000000113,6231.33,9495.65,11757.350000000093,1090
19,19.0,2253.79,878.3979999999283,4.048,3.368,5237.375,6217.38,9498.82,11757.729999999981,1089
20,20.0,2251.2,873.6019999999553,4.048,3.368,5223.3279999999795,6210.34,9462.62,11718.910000000033,1088
21,21.0,2248.6,871.1960000001127,4.049,3.369,5216.319999999949,6196.32,9480.48,11734.139999999898,1087
22,22.0,2246.3,868.7970000000205,4.049,3.369,5209.383000000147,6189.38,9487.68,11739.080000000075,1086
23,23.0,2243.83,866.3910000000615,4.049,3.37,5195.3279999999795,6182.33,9449.19,11698.099999999977,1085
24,24.0,2241.38,864.0,4.049,3.37,5188.3129999999655,6175.33,9416.03,11662.469999999972,1084
25,25.0,2239.5,859.2029999999795,4.049,3.371,5184.875,6168.38,9440.34,11684.910000000033,1083
26,26.0,2236.86,859.2029999999795,4.049,3.371,5174.3429999999935,6161.34,9409.77,11651.729999999981,1082
27,27.0,2234.78,856.7970000000205,4.049,3.371,5167.2179999999935,6154.23,9408.19,11648.030000000028,1081
28,28.0,2232.25,852.0,4.049,3.372,5160.3429999999935,6147.36,9376.8,11614.140000000014,1080
29,29.0,2230.39,852.0,4.049,3.373,5153.405999999959,6140.38,9391.03,11626.530000000028,1079
30,30.0,2228.27,849.5929999999935,4.049,3.373,5146.359000000055,6133.38,9371.03,11604.389999999898,1078
31,31.0,2226.72,847.1879999999655,4.049,3.374,5139.234000000055,6126.25,9352.67,11584.470000000088,1077
32,32.0,2224.5,844.8129999999655,4.049,3.374,5139.390999999945,6126.41,9341.77,11571.329999999958,1076
33,33.0,2222.84,844.8129999999655,4.049,3.374,5132.343999999925,6119.36,9352.52,11580.390000000014,1075
34,34.0,2220.47,840.0,4.049,3.375,5125.2820000000065,6112.25,9348.5,11574.089999999967,1074
35,35.0,2221.0,837.594000000041,4.031,3.597,5096.344000000041,6076.0,9400.31,54825.380000000005,1073
36,36.0,2227.88,837.594000000041,4.047,3.67,5111.344000000041,6098.34,9384.91,11628.339999999967,1072
37,37.0,2226.25,837.594000000041,4.048,3.376,5139.3129999999655,6126.31,9378.25,11609.44000000006,1071
38,38.0,2222.84,835.1869999996852,4.048,3.375,5132.2179999999935,6119.22,9371.69,11599.589999999967,1070
39,39.0,2219.5,832.8119999996852,4.048,3.377,5125.25,6112.25,9348.28,11572.909999999916,1069
40,40.0,2216.72,830.4059999997262,4.047,3.378,5114.875,6098.38,9330.0,11551.75,1068
41,41.0,2214.41,828.0,4.047,3.379,5104.375,6091.41,9309.66,11529.25,1067
42,42.0,2212.41,828.0,4.047,3.379,5104.375,6084.38,9325.16,11542.660000000149,1066
43,43.0,2210.16,825.5940000002738,4.047,3.38,5097.375,6077.38,9295.0,11510.179999999935,1065
44,44.0,2208.59,823.1559999997262,4.047,3.38,5090.375,6070.38,9303.25,11516.880000000121,1064
45,45.0,2206.09,820.8119999996852,4.047,3.38,5083.375,6063.38,9296.16,11507.189999999944,1063
46,46.0,2203.88,820.780999999959,4.047,3.382,5076.344000000274,6056.34,9294.78,11503.709999999963,1062
47,47.0,2201.84,816.0,4.046,3.383,5069.344000000274,6049.34,9309.66,11516.600000000093,1061
48,48.0,2199.88,813.594000000041,4.046,3.384,5062.344000000041,6042.34,9304.66,11509.689999999944,1060
49,49.0,2198.59,813.594000000041,4.046,3.385,5055.343999999808,6035.34,9264.97,11468.75,1059
50,50.0,2196.94,811.188000000082,4.046,3.385,5048.375,6035.38,9262.84,11464.929999999935,1058
51,51.0,2195.53,808.7809999997262,4.046,3.385,5044.875,6028.38,9276.03,11476.570000000065,1057
52,52.0,2193.75,806.405999999959,4.046,3.385,5041.25,6021.25,9274.72,11473.560000000056,1056
53,53.0,2192.06,806.436999999918,4.046,3.386,5034.342999999877,6014.34,9282.31,11479.469999999972,1055
54,54.0,2190.12,804.0,4.045,3.387,5027.438000000082,6014.44,9257.44,11452.559999999823,1054
55,55.0,2188.81,801.563000000082,4.045,3.388,5020.25,6007.19,9252.06,11445.870000000112,1053
56,56.0,2187.81,801.561999999918,4.045,3.388,5020.313000000082,6000.31,9267.88,11460.689999999944,1052
57,57.0,2186.69,804.0,4.045,3.388,5013.25,6000.19,9211.19,11402.939999999944,1051
58,58.0,2183.56,796.75,4.045,3.388,5013.25,5993.25,9251.94,11440.560000000056,1050
59,59.0,2183.62,792.0,4.028,3.625,4970.188000000082,5950.06,9297.5,54685.25,1049
60,60.0,206762.91,406703.76800017944,4.272,3.164,74219.99599999981,86148.77,86148.77,221315.96999999997,1048
61,61.0,2185.89,798.3999999999069,4.005,3.389,5271.553000000073,6272.35,9710.3,11920.90000000014,1047
62,62.0,2186.37,804.8000000000466,4.008,3.392,5030.318999999668,5984.32,9326.01,11527.040000000037,1046
63,63.0,2185.53,810.3999999999069,4.009,3.39,5033.9199999999255,5984.32,9340.29,11540.469999999972,1045
64,64.0,2183.17,810.0155000002123,4.009,3.39,5026.720999999903,5984.32,9306.91,11504.770000000019,1044
65,65.0,2181.19,807.6000000000931,4.01,3.39,5024.351000000024,5984.35,9318.98,11514.789999999804,1043
66,66.0,2179.49,807.0,4.009,3.391,5012.383000000147,5984.38,9329.18,11523.330000000075,1042
67,67.0,2176.51,801.0,4.01,3.391,5006.351000000257,5984.35,9306.23,11497.370000000112,1041
68,68.0,2174.41,800.970750000095,4.011,3.393,5000.382999999914,5948.38,9306.56,11495.589999999851,1040
69,69.0,2171.88,797.0,4.011,3.394,4990.720999999903,5948.32,9299.2,11485.660000000149,1039
70,70.0,2169.8,795.0,4.011,3.395,4982.351999999955,5948.35,9272.51,11456.98999999999,1038
71,71.0,2168.45,795.0,4.012,3.395,4976.352000000188,5948.35,9293.95,11477.030000000028,1037
72,72.0,2166.11,793.0,4.011,3.396,4970.350999999791,5948.35,9264.44,11445.25,1036
73,73.0,2163.94,789.6000000000931,4.012,3.396,4964.264999999898,5912.26,9257.92,11436.549999999814,1035
74,74.0,2161.76,786.0,4.011,3.397,4958.389999999898,5912.39,9272.48,11448.850000000093,1034
75,75.0,2159.23,784.0,4.012,3.398,4947.558999999892,5912.36,9216.2,11390.080000000075,1033
76,76.0,2157.86,782.3999999999069,4.012,3.4,4940.3910000000615,5912.39,9241.86,11414.409999999916,1032
77,77.0,2155.67,782.3999999999069,4.011,3.4,4934.358999999706,5912.36,9204.92,11375.280000000028,1031
