,Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),Total time (s),RUL
1,1.0,2590.5,1169.0240000000001,3.667,3.206,5446.016,6734.02,10759.26,14627.49,1104
2,2.0,7387.45,1204.0,4.242,3.213,5505.503999999997,6755.01,10449.44,19052.25,1103
3,3.0,7361.89,1140.991999999991,4.245,3.217,5495.008000000002,6740.99,10401.15,18978.310000000005,1102
4,4.0,7356.38,1110.6666666666642,4.246,3.223,5495.007999999994,6748.0,10335.71,18907.36,1101
6,6.0,64805.89,1103.65866666667,4.288,3.232,5488.0,107482.4,107482.4,107550.27999999998,1099
7,7.0,3329.98,996.4194285714184,3.699,3.481,5136.413714285736,6029.98,6029.98,9603.520000000019,1098
8,8.0,6029.98,1027.632168103446,4.047,3.472,5149.273142857128,6029.98,6029.98,12358.26999999999,1097
9,9.0,6029.98,1027.6318318965496,4.05,3.474,5129.983000000007,6029.98,6029.98,12341.570000000007,1096
10,10.0,6029.99,1033.5406451612944,4.047,3.478,5123.059384615393,6029.98,6029.98,12308.410000000003,1095
11,11.0,425208.02,170505.9219999999,4.269,3.103,221636.75799999997,87340.97,432095.76,464510.41,1094
12,12.0,2270.4,902.4000000000233,4.038,3.902,1947.3919999998761,2913.41,6175.39,8465.380000000005,1093
13,13.0,2265.6,902.4000000000233,4.042,3.367,5244.352000000072,6203.36,9430.37,11707.680000000051,1092
14,14.0,2265.6,900.0,4.043,3.366,5237.375,6203.36,9451.36,11725.30999999994,1091
15,15.0,2263.2,897.6019999999553,4.043,3.367,5230.304000000004,6196.29,9409.31,11679.900000000023,1090
16,16.0,2260.8,895.2299999999814,4.044,3.366,5226.832000000053,6189.34,9395.33,11663.619999999995,1089
17,17.0,2258.4,892.8050000000512,4.044,3.365,5223.3279999999795,6182.34,9360.32,11627.48999999999,1088
18,18.0,2253.6,890.3979999999283,4.045,3.365,5216.319999999949,6175.33,9339.33,11601.890000000014,1087
19,19.0,2251.2,888.0,4.045,3.366,5209.344000000041,6168.32,9381.34,11646.719999999972,1086
20,20.0,2248.8,883.1960000001127,4.045,3.367,5195.3279999999795,6161.34,9367.33,11625.849999999977,1085
21,21.0,2246.4,880.7970000000205,4.045,3.367,5188.350999999908,6154.37,9346.37,11602.01000000001,1084
22,22.0,2244.0,878.3989999999758,4.045,3.368,5181.383000000031,6147.37,9360.36,11612.170000000042,1083
23,23.0,2239.2,876.0,4.046,3.368,5174.367000000086,6140.35,9325.37,11573.5,1082
24,24.0,2241.59,873.5929999999935,4.046,3.368,5174.359000000055,6133.38,9325.38,11575.910000000033,1081
25,25.0,2239.2,871.1870000000345,4.046,3.367,5167.3279999999795,6133.34,9283.33,11532.959999999963,1080
26,26.0,2236.8,866.4060000000754,4.046,3.368,5160.344000000041,6119.36,9311.36,11555.040000000037,1079
27,27.0,2234.41,864.0,4.046,3.369,5153.2660000000615,6119.25,9311.25,11557.179999999935,1078
28,28.0,2232.0,864.0,4.046,3.37,5146.313000000082,6112.3,9304.3,11546.820000000065,1077
29,29.0,2229.59,859.2029999999795,4.046,3.371,5139.3279999999795,6098.33,9297.34,11538.01000000001,1076
30,30.0,2229.61,859.2029999999795,4.046,3.371,5132.359000000055,6091.33,9276.36,11519.779999999912,1075
31,31.0,2227.2,859.2029999999795,4.047,3.372,5125.344000000041,6091.33,9304.33,11541.280000000028,1074
32,32.0,2224.81,856.7970000000205,4.047,3.372,5125.343999999925,6084.33,9276.33,11513.469999999972,1073
33,33.0,2222.39,854.405999999959,4.047,3.373,5118.375,6077.39,9234.38,11465.890000000014,1072
34,34.0,2223.08,851.984999999986,4.047,3.373,5111.296999999904,6070.31,9241.31,11471.21000000008,1071
35,35.0,2222.41,847.2189999999246,4.029,3.682,5071.5,6041.0,9289.0,54726.21999999997,1070
36,36.0,2229.59,847.219000000041,4.044,3.669,5083.406000000075,6049.41,9311.41,11564.179999999935,1069
37,37.0,2227.22,849.5939999999246,4.046,3.373,5125.343999999925,6084.38,9269.34,11505.5,1068
38,38.0,2224.81,844.8130000003148,4.046,3.372,5118.3129999999655,6084.31,9262.31,11498.0,1067
39,39.0,2222.41,847.188000000082,4.046,3.374,5104.313000000315,6070.34,9262.34,11490.850000000093,1066
40,40.0,2217.62,844.7820000001229,4.046,3.374,5097.375,6063.38,9250.94,11475.280000000028,1065
41,41.0,2215.22,842.375,4.046,3.376,5090.375,6049.41,9234.38,11465.719999999972,1064
42,42.0,2212.81,840.0,4.046,3.377,5083.344000000274,6049.38,9206.38,11429.839999999851,1063
43,43.0,2212.41,837.594000000041,4.046,3.376,5076.217999999877,6042.25,9192.22,11412.620000000112,1062
44,44.0,2210.41,837.5940000002738,4.046,3.377,5069.280999999726,6035.25,9227.25,11448.219999999972,1061
45,45.0,2208.0,835.219000000041,4.046,3.378,5062.344000000041,6028.34,9171.31,11387.280000000028,1060
46,46.0,2205.62,835.219000000041,4.045,3.377,5055.342999999877,6021.38,9199.34,11418.409999999916,1059
47,47.0,2203.22,830.405999999959,4.045,3.378,5048.186999999685,6014.22,9192.19,11401.660000000149,1058
48,48.0,2200.81,830.4059999997262,4.045,3.379,5041.343999999808,6007.34,9178.34,11387.780000000028,1057
49,49.0,2200.78,828.0,4.045,3.38,5034.342999999877,6000.31,9171.34,11380.119999999879,1056
50,50.0,2198.41,825.625,4.045,3.38,5034.375,6000.38,9150.38,11360.320000000065,1055
51,51.0,2196.0,825.5940000002738,4.045,3.38,5027.342999999877,5993.34,9157.34,11365.369999999879,1054
52,52.0,2193.59,825.594000000041,4.045,3.381,5023.780999999959,5986.28,9122.28,11325.060000000056,1053
53,53.0,2193.78,820.811999999918,4.045,3.382,5020.375,5979.38,9122.38,11327.530000000028,1052
54,54.0,2191.19,820.8119999996852,4.045,3.382,5013.375,5972.38,9122.38,11320.790000000037,1051
55,55.0,2188.75,818.375,4.045,3.384,5006.375,5972.31,9143.38,11344.810000000056,1050
56,56.0,2188.81,818.375,4.044,3.384,5002.813000000315,5965.38,9136.38,11331.309999999823,1049
57,57.0,2186.38,818.4380000003148,4.044,3.385,4999.313000000315,5958.31,9101.31,11300.630000000121,1048
58,58.0,2186.38,818.375,4.045,3.385,4992.375,5958.38,9136.38,11330.25,1047
