,Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),Total time (s),RUL
1,1.0,2565.31,1186.4965,3.664,3.221,5439.007,6740.99,10999.07,14839.81,1107
2,2.0,7333.44,1196.992000000002,4.24,3.227,5480.991999999995,6740.99,10683.97,19232.83,1106
3,3.0,7302.5,1133.984000000004,4.242,3.232,5460.0,6720.0,10579.1,19096.9,1105
4,4.0,7300.03,1099.0079999999944,4.244,3.234,5467.004000000001,6720.0,10483.52,18998.840000000004,1104
6,6.0,64835.52,1116.4959999999992,4.288,3.239,5467.008000000002,107695.78,107695.78,107763.51999999999,1102
7,7.0,3324.32,992.7116896551743,3.698,3.482,5123.092615384667,6057.06,6057.06,9582.119999999995,1101
8,8.0,6029.98,1009.4951833333471,4.046,3.473,5136.414642857155,6058.08,6058.08,12318.839999999997,1100
9,9.0,6080.93,1009.4954666666745,4.048,3.475,5123.060153846134,6041.41,6041.41,12303.080000000016,1099
10,10.0,6060.22,1026.5530000000144,4.046,3.477,5109.219230769231,6028.8,6028.8,12269.690000000002,1098
11,11.0,423785.66,3869.984999999986,4.269,3.127,220236.24300000002,2726.19,430651.12,463142.43000000005,1097
12,12.0,2267.65,897.6000000000931,4.036,3.903,1954.4000000000233,2934.4,6210.91,8493.630000000005,1096
13,13.0,2265.6,897.6010000000242,4.039,3.375,5237.344000000041,6217.34,9479.33,11756.79999999993,1095
14,14.0,2264.1,897.6009999999078,4.04,3.373,5237.344000000157,6210.34,9471.74,11740.890000000014,1094
15,15.0,2262.79,895.1990000000224,4.04,3.373,5230.366999999969,6203.36,9467.14,11734.95000000007,1093
16,16.0,2260.86,895.1990000000224,4.041,3.372,5230.33600000001,6203.33,9473.6,11739.519999999902,1092
17,17.0,2258.66,892.795999999973,4.041,3.372,5225.569999999949,6198.56,9449.54,11713.19000000006,1091
18,18.0,2256.41,890.3979999999283,4.042,3.371,5216.360000000102,6196.36,9459.75,11721.209999999963,1090
19,19.0,2253.63,885.6010000000242,4.042,3.371,5209.375,6182.37,9446.27,11704.830000000075,1089
20,20.0,2250.53,880.8050000000512,4.043,3.373,5195.3279999999795,6175.33,9419.33,11675.03999999992,1088
21,21.0,2247.46,876.0,4.043,3.373,5188.320999999996,6168.32,9413.09,11665.640000000014,1087
22,22.0,2245.57,873.6009999999078,4.043,3.373,5181.344000000041,6154.34,9421.53,11672.060000000056,1086
23,23.0,2243.33,871.2030000000959,4.043,3.374,5174.367000000086,6147.36,9398.75,11647.159999999916,1085
24,24.0,2241.25,868.7970000000205,4.043,3.374,5167.3279999999795,6140.31,9369.75,11616.070000000065,1084
25,25.0,2239.14,866.390000000014,4.044,3.375,5160.343999999925,6140.34,9383.52,11627.709999999963,1083
26,26.0,2236.52,864.0,4.044,3.375,5153.375,6126.38,9348.94,11590.5,1082
27,27.0,2234.41,859.2029999999795,4.044,3.376,5146.405999999959,6119.39,9358.66,11598.520000000019,1081
28,28.0,2232.83,859.204000000027,4.044,3.377,5139.359999999986,6112.34,9359.11,11597.030000000028,1080
29,29.0,2230.5,854.390000000014,4.044,3.377,5132.2970000000205,6105.31,9335.97,11571.48999999999,1079
30,30.0,2228.42,854.4070000000065,4.044,3.378,5125.344000000041,6098.33,9322.45,11555.869999999995,1078
31,31.0,2226.8,852.0,4.044,3.379,5118.344000000041,6098.34,9311.84,11543.719999999972,1077
32,32.0,2224.7,849.609999999986,4.044,3.379,5111.2339999999385,6091.23,9301.44,11531.280000000028,1076
33,33.0,2222.41,844.7970000000205,4.043,3.379,5104.375,6084.38,9296.73,11524.839999999967,1075
34,34.0,2220.72,844.780999999959,4.043,3.38,5104.359000000055,6077.38,9280.16,11505.930000000051,1074
35,35.0,2220.75,842.375,4.026,3.595,5071.844000000041,6048.0,9351.94,54776.80999999994,1073
36,36.0,2227.84,842.405999999959,4.042,3.673,5076.25,6063.28,9353.69,11597.19000000006,1072
37,37.0,2226.03,842.405999999959,4.043,3.382,5111.375,6091.38,9321.84,11553.089999999967,1071
38,38.0,2222.25,840.0,4.043,3.381,5104.218999999925,6084.22,9315.84,11543.129999999888,1070
39,39.0,2219.31,840.0,4.043,3.382,5097.344000000041,6077.34,9289.28,11513.780000000028,1069
40,40.0,2216.56,832.7820000001229,4.043,3.383,5090.344000000041,6070.34,9317.62,11539.25,1068
41,41.0,2213.81,835.2179999998771,4.042,3.385,5076.25,6056.25,9238.78,11457.560000000056,1067
42,42.0,2212.31,830.4070000001229,4.042,3.386,5076.342999999877,6049.38,9282.81,11500.189999999944,1066
43,43.0,2209.31,830.405999999959,4.042,3.385,5069.375,6049.38,9239.81,11454.219999999972,1065
44,44.0,2208.06,828.0,4.042,3.385,5062.344000000041,6042.34,9261.41,11474.530000000028,1064
45,45.0,2205.69,825.594000000041,4.042,3.386,5055.342999999877,6035.34,9251.62,11462.370000000112,1063
46,46.0,2203.34,823.188000000082,4.041,3.387,5048.342999999877,6028.34,9260.5,11468.939999999944,1062
47,47.0,2200.28,820.780999999959,4.041,3.388,5041.375,6021.38,9192.66,11397.969999999972,1061
48,48.0,2198.72,818.405999999959,4.041,3.389,5034.342999999877,6014.34,9225.72,11429.40000000014,1060
49,49.0,2197.56,818.405999999959,4.041,3.389,5027.280999999959,6007.28,9202.91,11405.569999999832,1059
50,50.0,2195.72,816.0,4.041,3.39,5027.280999999959,6000.25,9179.84,11380.680000000168,1058
51,51.0,2193.91,816.0,4.041,3.39,5020.344000000041,6000.34,9169.44,11368.409999999916,1057
52,52.0,2192.19,813.594000000041,4.041,3.39,5013.407000000123,5993.41,9179.09,11376.370000000112,1056
53,53.0,2190.38,813.5929999998771,4.041,3.391,5009.844000000041,5986.34,9170.44,11365.909999999916,1055
54,54.0,2188.62,811.188000000082,4.041,3.391,5006.375,5979.38,9189.31,11382.939999999944,1054
55,55.0,2187.31,806.375,4.04,3.392,4999.375,5972.38,9167.88,11360.120000000112,1053
56,56.0,2185.56,808.811999999918,4.041,3.393,4992.375,5972.38,9177.56,11368.189999999944,1052
57,57.0,2184.19,806.375,4.041,3.393,4985.375,5965.38,9137.88,11327.129999999888,1051
58,58.0,2181.94,804.0,4.04,3.393,4985.375,5958.38,9141.88,11328.870000000112,1050
59,59.0,2180.62,799.186999999918,4.023,3.623,4949.375,5922.0,9193.81,54578.689999999944,1049
60,60.0,205671.93,2887.503999999957,4.271,3.179,73800.00399999996,85598.4,85598.4,220222.59000000008,1048
61,61.0,2180.99,795.1999999999534,4.002,3.399,5235.42399999965,6200.22,9614.43,11822.339999999851,1047
