,Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),Total time (s),RUL
1,1.0,2587.94,1231.999,3.661,3.223,5383.009,6678.02,10856.83,14720.42,1107
2,2.0,7364.06,1271.680666666667,4.235,3.235,5432.0,6678.02,10564.77,19144.15,1106
3,3.0,7344.54,1200.4959999999992,4.237,3.237,5424.989000000001,6671.01,10456.58,19016.449999999997,1105
4,4.0,7334.56,1166.6549999999916,4.238,3.238,5418.015999999996,6671.01,10371.2,18920.870000000003,1104
6,6.0,64881.41,1172.4959999999992,4.284,3.244,5411.008000000002,107634.62,107634.62,107702.49,1102
7,7.0,3240.0,1019.1016551724169,3.699,3.485,5123.062153846142,6029.98,6029.98,9575.559999999998,1101
8,8.0,6029.98,1032.5808571428643,4.046,3.475,5129.984000000026,6029.98,6029.98,12299.449999999983,1100
9,9.0,6029.99,1039.4737662338011,4.047,3.477,5116.140307692316,6029.98,6029.98,12273.220000000001,1099
10,10.0,6029.98,1052.6793749999779,4.045,3.481,5102.293846153829,5940.0,5940.0,12241.180000000022,1098
11,11.0,423224.85,170899.92099999997,4.269,3.119,219484.53199999998,87463.88,430308.91,462773.68999999994,1097
12,12.0,2261.02,878.3989999999758,4.04,3.9,1968.3199999999488,2934.34,6238.34,8519.550000000047,1096
13,13.0,2257.09,876.0,4.042,3.375,5216.319999999949,6182.34,9514.34,11782.23999999999,1095
14,14.0,2253.6,873.6000000000931,4.043,3.376,5209.248000000138,6175.23,9486.24,11750.619999999995,1094
15,15.0,2251.2,871.1999999999534,4.044,3.376,5202.238000000012,6161.25,9486.24,11745.410000000033,1093
16,16.0,2248.8,868.7970000000205,4.044,3.376,5195.3279999999795,6161.34,9451.33,11705.53999999992,1092
17,17.0,2244.0,864.0,4.044,3.377,5188.352000000072,6154.37,9423.36,11680.790000000037,1091
18,18.0,2241.6,859.2029999999795,4.045,3.376,5181.342999999877,6147.33,9430.34,11679.5,1090
19,19.0,2239.2,859.2029999999795,4.045,3.378,5174.491999999969,6133.5,9416.48,11664.790000000037,1089
20,20.0,2236.8,854.4060000000754,4.045,3.377,5167.359000000055,6126.37,9402.37,11652.229999999981,1088
21,21.0,2234.4,849.6009999999078,4.045,3.378,5153.343999999925,6119.33,9416.32,11661.25,1087
22,22.0,2232.0,849.594000000041,4.045,3.378,5146.375,6112.35,9402.38,11642.170000000042,1086
