,Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),Total time (s),RUL
1,1.0,2576.0,1197.024,3.663,3.223,5418.016,6712.99,10815.74,14664.83,1107
2,2.0,7371.01,1232.0,4.239,3.234,5460.0,6712.99,10500.0,19090.559999999998,1106
3,3.0,7343.01,1148.0,4.241,3.24,5439.008000000002,6692.0,10402.02,18967.39,1105
4,4.0,7343.01,1123.5040000000008,4.243,3.241,5446.015999999996,6699.01,10363.48,18922.399999999994,1104
6,6.0,64889.99,1130.5109999999986,4.287,3.247,5439.008000000002,107552.49,107552.49,107632.65000000001,1102
7,7.0,3332.61,1118.3318518518645,3.685,3.502,5032.498583333334,5983.55,5983.55,9519.169999999984,1101
8,8.0,6002.59,1140.5228103448171,4.02,3.496,5032.498666666681,5975.52,5975.52,12158.809999999998,1100
9,9.0,5999.9,1149.318793103419,4.021,3.498,5017.497999999992,5957.89,5957.89,12138.570000000007,1099
10,10.0,5980.35,1168.3430555555387,4.019,3.5,5015.450454545469,5940.0,5940.0,12106.070000000007,1098
11,11.0,426521.08,256022.14099999995,4.267,3.119,221199.231,434588.26,434588.26,467084.54,1097
12,12.0,2269.5,792.0,3.994,3.916,1870.3359999998938,2857.34,6356.1,8640.729999999981,1096
13,13.0,2266.98,792.0,3.995,3.41,5139.392000000109,6126.4,9694.56,11966.599999999977,1095
14,14.0,2264.64,789.6000000000931,3.996,3.409,5132.35400000005,6119.36,9665.19,11934.910000000033,1094
15,15.0,2262.08,787.1990000000224,3.997,3.41,5125.281000000075,6119.27,9643.3,11910.430000000051,1093
16,16.0,2259.64,784.8009999999776,3.997,3.41,5125.375,6112.35,9642.91,11907.609999999986,1092
17,17.0,2257.16,780.0,3.998,3.41,5111.3589999999385,6105.38,9643.52,11905.699999999953,1091
18,18.0,2254.05,777.6019999999553,3.998,3.41,5104.319999999949,6098.34,9620.64,11879.810000000056,1090
19,19.0,2251.07,772.7970000000205,3.998,3.41,5097.375,6084.38,9583.91,11840.05999999994,1089
20,20.0,2248.71,770.3989999999758,3.998,3.411,5083.327999999863,6077.34,9601.53,11855.369999999995,1088
21,21.0,2245.76,768.0,3.998,3.412,5076.320000000065,6063.33,9591.97,11842.840000000084,1087
22,22.0,2243.62,763.2040000001434,3.998,3.412,5069.375,6056.38,9577.16,11825.859999999986,1086
23,23.0,2241.03,760.7970000000205,3.998,3.412,5062.33600000001,6049.34,9568.6,11814.689999999944,1085
24,24.0,2238.84,758.405999999959,3.999,3.412,5055.359999999986,6042.38,9549.61,11793.469999999972,1084
25,25.0,2236.77,756.0,3.999,3.412,5048.3120000000345,6035.33,9535.33,11777.120000000112,1083
26,26.0,2234.5,751.2029999999795,3.998,3.413,5041.4679999999935,6028.45,9538.2,11777.659999999916,1082
27,27.0,2232.42,751.204000000027,3.998,3.413,5034.328000000096,6021.34,9534.17,11771.619999999995,1081
28,28.0,2229.58,748.7970000000205,3.998,3.415,5027.3910000000615,6014.41,9508.77,11743.390000000014,1080
29,29.0,2227.23,746.390000000014,3.998,3.415,5020.359000000055,6007.36,9500.06,11732.349999999977,1079
30,30.0,2225.25,741.594000000041,3.998,3.416,5013.25,6000.22,9502.05,11732.480000000098,1078
31,31.0,2223.23,741.594000000041,3.998,3.416,5006.3279999999795,5993.34,9498.2,11726.629999999888,1077
32,32.0,2221.31,739.188000000082,3.997,3.416,4999.3589999999385,5986.38,9462.98,11689.220000000088,1076
33,33.0,2219.75,736.7970000000205,3.998,3.416,4992.2339999999385,5986.25,9499.11,11723.929999999935,1075
34,34.0,2217.25,734.375,3.997,3.417,4985.25,5972.22,9449.16,11671.430000000051,1074
35,35.0,2220.28,729.594000000041,3.981,3.611,4970.375,5950.0,9489.78,54914.30999999994,1073
36,36.0,2226.56,734.4060000000754,3.997,3.694,4985.343999999925,5979.34,9499.88,11741.869999999995,1072
37,37.0,2223.41,732.0,3.997,3.417,5006.219000000041,5993.25,9484.41,11712.94000000006,1071
38,38.0,2220.25,729.625,3.996,3.418,4992.249999999884,5986.25,9482.87,11708.160000000033,1070
39,39.0,2217.47,729.594000000041,3.996,3.418,4985.375,5972.34,9484.03,11706.589999999851,1069
40,40.0,2214.59,727.188000000082,3.996,3.419,4978.375,5965.41,9455.28,11674.970000000205,1068
41,41.0,2213.09,727.1869999996852,3.996,3.419,4971.375,5958.41,9451.69,11669.839999999851,1067
42,42.0,2211.22,724.780999999959,3.996,3.42,4964.344000000274,5951.38,9454.0,11670.280000000028,1066
43,43.0,2208.69,722.4070000001229,3.996,3.419,4957.344000000041,5944.31,9429.44,11643.130000000121,1065
44,44.0,2206.28,720.0,3.996,3.42,4950.344000000041,5937.34,9436.06,11647.369999999879,1064
45,45.0,2203.22,717.594000000041,3.996,3.421,4943.311999999918,5930.34,9427.47,11636.780000000028,1063
46,46.0,2201.91,715.2179999998771,3.996,3.422,4936.186999999918,5923.22,9424.97,11631.909999999916,1062
47,47.0,2199.97,715.188000000082,3.995,3.423,4929.280999999726,5916.25,9420.84,11625.880000000121,1061
48,48.0,2198.94,712.813000000082,3.995,3.423,4922.343999999808,5909.38,9418.84,11622.869999999879,1060
49,49.0,2197.31,710.4059999997262,3.995,3.423,4915.342999999877,5909.38,9405.81,11608.060000000056,1059
50,50.0,2196.38,708.0,3.995,3.423,4915.344000000274,5902.38,9400.69,11602.130000000121,1058
51,51.0,2194.62,708.0,3.995,3.424,4908.375,5895.38,9375.53,11575.089999999851,1057
52,52.0,2191.22,708.0,3.995,3.424,4908.344000000274,5895.34,9361.91,11559.780000000028,1056
53,53.0,2191.5,705.5619999996852,3.994,3.426,4901.313000000315,5888.31,9377.0,11573.689999999944,1055
54,54.0,2190.31,705.625,3.994,3.426,4894.438000000315,5888.44,9360.88,11556.190000000177,1054
55,55.0,2188.69,703.25,3.994,3.426,4887.313000000315,5881.31,9340.44,11534.25,1053
56,56.0,2188.0,703.1880000003148,3.994,3.426,4887.375,5881.38,9375.19,11568.25,1052
57,57.0,2186.56,703.25,3.994,3.427,4887.375,5874.38,9353.12,11544.619999999879,1051
58,58.0,2182.81,698.4380000003148,3.993,3.427,4880.375,5867.38,9364.5,11552.439999999944,1050
59,59.0,2186.44,693.5619999996852,3.977,3.63,4858.25,5838.0,9390.38,54780.69000000018,1049
60,60.0,205460.61,2910.0160000000615,4.269,3.172,74939.9979999999,86920.7,86920.7,220011.3899999999,1048
61,61.0,2190.69,696.0,3.958,3.41,5156.415999999968,6164.42,9810.34,12025.820000000065,1047
62,62.0,2189.66,702.0,3.959,3.429,4918.719000000041,5876.32,9503.33,11707.649999999907,1046
63,63.0,2187.1,701.6000000000931,3.959,3.429,4911.550999999978,5876.35,9460.67,11662.300000000047,1045
64,64.0,2184.48,705.6000000000931,3.959,3.429,4904.350999999791,5876.35,9444.86,11643.969999999972,1044
65,65.0,2182.34,705.0,3.959,3.429,4897.183000000194,5876.38,9471.04,11668.030000000028,1043
66,66.0,2180.09,699.1999999999534,3.96,3.43,4889.9199999999255,5876.32,9457.6,11652.350000000093,1042
67,67.0,2177.41,697.1999999999534,3.96,3.431,4882.751000000164,5840.35,9459.62,11651.789999999804,1041
68,68.0,2174.98,695.1999999999534,3.96,3.432,4874.319999999832,5840.32,9423.69,11613.310000000056,1040
69,69.0,2173.09,693.0,3.961,3.432,4868.320000000065,5840.32,9423.75,11611.449999999953,1039
70,70.0,2170.94,693.6000000000931,3.961,3.434,4853.9509999998845,5840.35,9405.09,11590.75,1038
71,71.0,2168.8,689.6000000000931,3.96,3.434,4850.352000000188,5840.35,9368.35,11572.870000000112,1037
72,72.0,2167.76,689.6000000000931,3.961,3.434,4846.649999999907,5804.25,9403.58,11585.969999999972,1036
73,73.0,2165.38,688.0,3.96,3.434,4839.543999999994,5804.34,9378.39,11558.379999999888,1035
74,74.0,2163.27,684.0,3.96,3.435,4832.360000000102,5804.36,9354.02,11531.970000000205,1034
75,75.0,2160.8,686.3999999999069,3.959,3.436,4825.033999999985,5804.23,9334.19,11509.619999999879,1033
76,76.0,2159.42,680.3999999999069,3.959,3.437,4817.913000000408,5804.31,9332.55,11506.689999999944,1032
77,77.0,2157.19,682.8000000000466,3.959,3.437,4817.913000000408,5804.31,9288.64,11460.580000000075,1031
78,78.0,2156.53,682.8000000000466,3.959,3.438,4810.681999999797,5768.28,9324.25,11495.479999999981,1030
79,79.0,2154.25,676.8000000000466,3.958,3.439,4810.619000000181,5768.22,9309.19,11478.189999999944,1029
80,80.0,2153.06,679.1999999999534,3.959,3.44,4803.528000000166,5768.33,9325.16,11492.860000000102,1028
81,81.0,2150.62,677.0,3.958,3.439,4796.327999999747,5768.33,9289.16,11454.439999999944,1027
82,82.0,2149.06,675.6000000000931,3.958,3.44,4789.12900000019,5768.33,9326.47,11490.169999999925,1026
83,83.0,2146.34,672.0,3.958,3.441,4789.158999999985,5768.36,9289.84,11450.800000000047,1025
84,84.0,2158.62,669.5930000001099,3.973,3.647,4760.375,5747.0,9343.38,54706.12000000011,1024
85,85.0,2155.28,676.0,3.957,3.734,4781.944000000134,5768.34,9316.44,11497.030000000028,1023
86,86.0,2152.25,671.9689999998081,3.957,3.442,4803.543999999762,5768.34,9325.47,11492.469999999972,1022
87,87.0,2149.41,670.3999999999069,3.957,3.443,4796.312000000151,5768.31,9344.12,11508.25,1021
88,88.0,2146.97,670.3999999999069,3.957,3.443,4781.912000000011,5768.31,9302.94,11464.59999999986,1020
89,89.0,2145.28,668.3999999999069,3.957,3.444,4778.344000000041,5768.34,9324.0,11484.0,1019
90,90.0,2143.12,670.8000000000466,3.956,3.445,4774.711999999825,5732.31,9317.34,11475.180000000168,1018
91,91.0,2141.03,664.8000000000466,3.956,3.444,4767.449999999953,5732.25,9272.69,11428.379999999888,1017
92,92.0,2139.72,667.1999999999534,3.955,3.445,4760.344000000041,5732.34,9260.34,11447.75,1016
93,93.0,2138.0,667.1999999999534,3.955,3.445,4753.112000000197,5732.31,9282.91,11435.560000000056,1015
94,94.0,2136.19,665.0,3.955,3.445,4753.050000000047,5732.25,9283.78,11434.629999999888,1014
95,95.0,2135.0,665.6000000000931,3.955,3.445,4745.931599999778,5732.31,9285.91,11435.560000000056,1013
96,96.0,2133.94,669.0,3.955,3.446,4742.375,5696.38,9272.94,11421.530000000028,1012
97,97.0,2132.22,665.6000000000931,3.955,3.447,4738.618999999948,5696.22,9248.75,11395.780000000028,1011
98,98.0,2131.16,663.1999999999534,3.955,3.446,4731.574999999953,5696.38,9266.19,11411.909999999916,1010
99,99.0,2129.25,663.6000000000931,3.955,3.447,4730.375,5696.38,9269.97,11413.840000000084,1009
