,Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),Total time (s),RUL
1,1.0,2652.99,1364.991,3.652,3.233,5340.992999999999,6664.0,11018.02,14949.34,1107
2,2.0,7356.99,1386.0169999999998,4.231,3.247,5368.991999999998,6643.01,10766.02,19354.149999999998,1106
3,3.0,7336.0,1295.0079999999944,4.232,3.251,5355.008000000002,6628.99,10612.0,19174.300000000003,1105
4,4.0,7328.99,1260.0,4.233,3.253,5348.0,6628.99,10576.99,19126.010000000002,1104
6,6.0,65032.8,1284.5120000000024,4.283,3.261,5340.991999999998,107900.27,107900.27,107978.18,1102
7,7.0,3329.98,1046.255999999994,3.694,3.492,5081.545384615398,6023.65,6023.65,9561.600000000006,1101
8,8.0,6029.99,1060.7174999999988,4.036,3.482,5088.453461538476,6018.43,6018.43,12237.880000000005,1100
9,9.0,6031.42,1063.9314285714354,4.037,3.485,5072.137500000012,5999.23,5999.23,12211.299999999988,1099
10,10.0,5940.0,1075.567290640407,4.035,3.489,5060.7655384615355,5989.47,5989.47,12181.190000000002,1098
11,11.0,426207.68,254565.79700000002,4.269,3.126,222054.84399999998,87429.84,433662.03,466153.39999999997,1097
12,12.0,2269.7,883.2000000000698,4.02,3.907,1919.456000000122,2892.45,6279.36,8564.19000000006,1096
13,13.0,2266.15,880.798000000068,4.022,3.38,5202.398999999976,6175.39,9591.36,11862.589999999967,1095
14,14.0,2264.93,878.4000000000233,4.023,3.381,5195.359000000055,6168.35,9607.65,11877.670000000042,1094
15,15.0,2262.11,878.3989999999758,4.023,3.381,5195.3589999999385,6161.38,9574.08,11841.280000000028,1093
16,16.0,2259.55,873.597000000067,4.023,3.38,5188.352000000072,6161.38,9530.3,11794.969999999972,1092
17,17.0,2256.8,871.2029999999795,4.024,3.38,5181.3429999999935,6154.33,9542.33,11811.079999999958,1091
18,18.0,2253.44,866.3989999999758,4.024,3.381,5174.397999999928,6140.38,9490.72,11749.25,1090
19,19.0,2251.17,864.0,4.024,3.381,5160.351000000024,6133.34,9515.48,11771.680000000051,1089
20,20.0,2247.88,859.1949999999488,4.024,3.381,5153.343999999925,6126.34,9485.66,11738.650000000023,1088
21,21.0,2245.79,856.7969999999041,4.024,3.382,5146.367000000086,6119.36,9511.36,11762.209999999963,1087
22,22.0,2243.27,852.0,4.024,3.382,5139.359000000055,6105.38,9488.58,11736.919999999925,1086
23,23.0,2241.34,849.594000000041,4.024,3.382,5132.3120000000345,6098.34,9503.36,11749.730000000098,1085
24,24.0,2238.92,847.2029999999795,4.025,3.383,5121.866999999969,6091.36,9470.97,11714.919999999925,1084
25,25.0,2235.72,844.8120000000345,4.025,3.383,5118.375,6084.36,9412.73,11653.530000000028,1083
26,26.0,2233.12,842.405999999959,4.024,3.384,5104.3279999999795,6077.34,9407.2,11645.469999999972,1082
27,27.0,2231.33,840.0,4.024,3.385,5097.4220000000205,6070.41,9435.23,11671.609999999986,1081
28,28.0,2228.95,837.6089999999385,4.024,3.385,5090.234999999986,6063.23,9417.56,11651.720000000088,1080
29,29.0,2226.98,835.2029999999795,4.025,3.386,5083.375,6056.36,9435.2,11667.199999999953,1079
31,31.0,2222.31,830.405999999959,4.024,3.386,5076.3589999999385,6042.38,9385.22,11612.48999999999,1077
32,32.0,2220.61,828.0,4.024,3.387,5069.405999999959,6035.39,9389.89,11615.53999999992,1076
33,33.0,2218.69,825.5929999999935,4.024,3.387,5062.375,6028.39,9375.11,11598.94000000006,1075
34,34.0,2216.53,823.1870000000345,4.024,3.388,5055.3589999999385,6028.34,9370.2,11591.859999999986,1074
35,35.0,2221.0,820.7810000000754,4.008,3.603,5033.375,6006.0,9420.28,54845.41000000003,1073
36,36.0,2226.25,823.219000000041,4.024,3.677,5048.375,6021.38,9406.03,11648.029999999912,1072
37,37.0,2223.47,818.4070000000065,4.024,3.387,5069.343999999925,6042.34,9447.47,11675.970000000088,1071
38,38.0,2219.16,818.405999999959,4.024,3.388,5062.375,6028.38,9390.78,11614.929999999935,1070
39,39.0,2216.22,813.5940000002738,4.023,3.389,5048.342999999877,6021.38,9388.5,11609.820000000065,1069
40,40.0,2212.72,813.6560000001919,4.023,3.39,5041.375,6014.38,9343.59,11561.369999999879,1068
41,41.0,2211.5,811.2179999998771,4.023,3.391,5034.343999999808,6000.31,9391.59,11608.160000000149,1067
42,42.0,2209.0,808.813000000082,4.023,3.391,5027.344000000274,6000.31,9351.41,11565.429999999935,1066
43,43.0,2207.25,806.4060000001919,4.023,3.392,5020.311999999918,5993.34,9371.75,11584.070000000065,1065
44,44.0,2204.72,804.0,4.023,3.393,5013.342999999877,5986.34,9359.06,11568.899999999907,1064
45,45.0,2202.28,801.5929999998771,4.023,3.393,5006.375,5972.34,9323.56,11530.909999999916,1063
46,46.0,2200.41,799.186999999918,4.022,3.394,4999.344000000041,5972.34,9330.91,11536.590000000084,1062
47,47.0,2198.56,796.7820000001229,4.022,3.394,4992.344000000041,5965.34,9330.56,11534.159999999916,1061
48,48.0,2196.75,796.7810000001919,4.022,3.395,4985.343999999808,5958.34,9304.25,11506.090000000084,1060
49,49.0,2195.12,794.405999999959,4.022,3.396,4985.375,5951.34,9310.31,11510.439999999944,1059
50,50.0,2193.75,794.4060000001919,4.022,3.396,4978.311999999918,5944.31,9296.69,11495.630000000121,1058
51,51.0,2192.69,792.0,4.022,3.396,4971.343999999808,5944.31,9316.34,11514.089999999851,1057
52,52.0,2190.69,789.5939999998081,4.022,3.397,4971.311999999685,5937.34,9285.78,11481.590000000084,1056
53,53.0,2189.12,789.625,4.022,3.397,4964.311999999918,5930.34,9293.06,11487.280000000028,1055
54,54.0,2187.44,787.25,4.021,3.398,4957.313000000082,5930.31,9287.19,11479.75,1054
55,55.0,2186.31,784.813000000082,4.022,3.399,4950.375,5923.31,9294.81,11486.320000000065,1053
