,Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),Total time (s),RUL
1,1.0,2590.02,1274.016,3.657,3.23,5355.008000000002,6664.0,10864.0,14738.72,1113
2,2.0,7378.01,1326.5114999999969,4.232,3.234,5411.008000000005,6671.01,10576.99,19174.879999999997,1112
3,3.0,7356.99,1246.015999999996,4.235,3.239,5404.0,6656.99,10479.01,19059.260000000002,1111
4,4.0,7343.01,1215.6789999999964,4.236,3.24,5404.0039999999935,6657.0,10409.0,18976.929999999993,1110
6,6.0,64978.47,1221.4879999999976,4.284,3.246,5397.024000000005,107732.31,107732.31,107810.2,1108
7,7.0,3330.02,1059.0513439153438,3.698,3.481,5116.140307692316,6056.51,6056.51,9587.26000000001,1107
8,8.0,6049.12,1050.8306944444485,4.044,3.473,5116.139615384629,6046.65,6046.65,12276.479999999981,1106
9,9.0,6043.9,1052.6794285714277,4.046,3.477,5102.298615384643,6024.29,6024.29,12248.870000000024,1105
10,10.0,6023.56,1063.9312499999942,4.043,3.48,5091.4194285714475,6015.97,6015.97,12220.219999999972,1104
11,11.0,423483.05,3780.0,4.27,3.117,219417.42200000002,2727.44,430754.52,463245.73,1103
12,12.0,2260.77,892.7999999999302,4.034,3.901,1961.4079999999376,2927.39,6245.25,8521.160000000033,1102
13,13.0,2256.58,890.4000000000233,4.036,3.369,5230.334999999963,6196.32,9534.46,11796.0,1101
14,14.0,2253.95,888.0,4.036,3.37,5223.391999999993,6182.4,9501.31,11760.319999999949,1100
15,15.0,2251.46,885.5979999999981,4.037,3.37,5216.353000000003,6182.37,9504.19,11760.670000000042,1099
16,16.0,2249.31,880.8010000000941,4.037,3.371,5209.277999999933,6175.26,9488.38,11742.75,1098
17,17.0,2247.04,878.3980000000447,4.038,3.371,5202.370999999926,6168.35,9480.93,11733.030000000028,1097
18,18.0,2244.39,873.6020000000717,4.038,3.371,5195.227000000072,6161.25,9483.52,11732.959999999963,1096
19,19.0,2242.11,873.6020000000717,4.038,3.372,5188.257999999914,6154.27,9465.92,11713.109999999986,1095
20,20.0,2239.36,871.1950000000652,4.038,3.372,5181.406000000075,6147.39,9454.08,11698.46000000008,1094
21,21.0,2236.87,866.3979999999283,4.038,3.372,5174.335999999894,6133.34,9450.24,11692.109999999986,1093
22,22.0,2234.62,864.0,4.038,3.374,5167.454000000143,6126.46,9436.92,11676.609999999986,1092
23,23.0,2232.3,861.609000000055,4.038,3.374,5160.219000000041,6119.23,9401.43,11638.780000000028,1091
24,24.0,2230.5,861.609000000055,4.039,3.374,5153.375,6119.36,9408.61,11644.149999999907,1090
25,25.0,2228.61,856.7970000000205,4.039,3.374,5146.359999999986,6112.34,9394.66,11628.300000000047,1089
26,26.0,2226.22,856.7970000000205,4.038,3.375,5139.2970000000205,6105.31,9387.45,11618.75,1088
27,27.0,2224.16,852.0,4.038,3.375,5132.265000000014,6098.28,9380.97,11610.170000000042,1087
28,28.0,2222.23,852.0,4.038,3.376,5132.3279999999795,6091.33,9374.09,11601.380000000005,1086
29,29.0,2220.48,849.594000000041,4.038,3.376,5125.3429999999935,6084.31,9362.02,11587.679999999935,1085
30,30.0,2218.56,844.7970000000205,4.038,3.376,5118.375,6084.36,9368.25,11591.800000000047,1084
31,31.0,2216.73,844.7970000000205,4.038,3.377,5111.359000000055,6077.38,9335.45,11557.30999999994,1083
32,32.0,2215.5,844.7970000000205,4.039,3.377,5111.390000000014,6070.39,9350.42,11570.98999999999,1082
33,33.0,2213.41,842.405999999959,4.038,3.377,5104.328000000096,6070.34,9357.19,11575.670000000042,1081
34,34.0,2211.75,837.594000000041,4.038,3.378,5097.344000000041,6063.33,9358.91,11575.660000000033,1080
35,35.0,2214.75,840.0,4.022,3.596,5075.280999999959,6041.0,9382.72,54801.429999999935,1079
36,36.0,2221.19,837.5929999999935,4.037,3.672,5090.344000000041,6056.34,9386.94,11623.820000000065,1078
37,37.0,2217.47,837.625,4.038,3.378,5118.280999999959,6077.31,9390.66,11613.219999999972,1077
38,38.0,2213.53,832.811999999918,4.038,3.378,5104.375,6070.38,9390.56,11609.150000000023,1076
39,39.0,2210.19,830.405999999959,4.038,3.38,5097.344000000041,6056.34,9343.78,11559.030000000028,1075
40,40.0,2207.38,830.405999999959,4.038,3.38,5083.311999999918,6049.34,9343.56,11555.879999999888,1074
41,41.0,2204.84,828.0,4.038,3.382,5076.219000000041,6035.19,9320.16,11530.090000000084,1073
42,42.0,2203.38,828.0,4.038,3.382,5069.280999999959,6028.25,9317.72,11526.189999999944,1072
43,43.0,2200.66,823.2179999998771,4.038,3.382,5062.344000000041,6021.38,9311.25,11516.969999999972,1071
44,44.0,2198.25,823.186999999918,4.038,3.384,5055.344000000041,6021.34,9285.12,11488.5,1070
45,45.0,2195.56,820.813000000082,4.037,3.384,5048.344000000041,6007.34,9273.0,11473.65000000014,1069
46,46.0,2193.5,818.375,4.037,3.385,5041.375,6000.34,9294.34,11492.969999999972,1068
47,47.0,2191.25,816.0,4.037,3.385,5034.375,5993.38,9276.84,11473.159999999916,1067
48,48.0,2189.28,813.625,4.037,3.385,5027.311999999918,5986.31,9274.72,11469.0,1066
49,49.0,2188.22,813.625,4.037,3.386,5020.375,5979.38,9268.28,11461.560000000056,1065
50,50.0,2186.34,813.594000000041,4.037,3.386,5013.375,5979.34,9264.22,11455.590000000084,1064
51,51.0,2184.03,811.2179999998771,4.037,3.387,5006.405999999959,5972.41,9234.72,11423.789999999804,1063
52,52.0,2182.06,808.813000000082,4.037,3.387,4999.344000000041,5965.34,9236.12,11423.25,1062
53,53.0,2179.81,806.375,4.036,3.388,4992.25,5958.25,9201.03,11385.930000000168,1061
54,54.0,2177.94,806.375,4.036,3.389,4985.375,5951.31,9223.69,11406.75,1060
55,55.0,2176.88,804.0,4.036,3.389,4978.311999999918,5944.31,9233.0,11414.879999999888,1059
56,56.0,2175.31,801.563000000082,4.036,3.389,4978.311999999918,5937.38,9247.25,11427.560000000056,1058
57,57.0,2173.75,801.561999999918,4.036,3.39,4971.313000000082,5937.31,9227.12,11405.939999999944,1057
58,58.0,2171.19,799.186999999918,4.036,3.39,4971.311999999918,5930.38,9216.44,11392.689999999944,1056
59,59.0,2172.69,799.186999999918,4.019,3.629,4942.313000000082,5908.0,9240.44,54617.060000000056,1055
60,60.0,204684.61,-397645.90800017817,4.272,3.179,75179.99800000014,87266.47,87266.47,219235.75,1054
61,61.0,2174.75,792.0,4.0,3.397,5242.752000000095,6200.35,9688.9,11888.51000000001,1053
62,62.0,2172.67,798.0,4.0,3.408,4990.784999999916,5948.39,9318.59,11508.219999999972,1052
63,63.0,2170.08,795.6000000000931,4.0,3.393,4983.551999999909,5948.35,9323.71,11508.449999999953,1051
64,64.0,2167.27,795.6000000000931,4.0,3.394,4976.383000000147,5912.35,9292.77,11474.590000000084,1050
65,65.0,2164.12,796.0,4.0,3.394,4969.054000000237,5912.25,9266.43,11445.25,1049
66,66.0,2161.25,796.0,4.0,3.395,4958.320000000065,5912.32,9262.72,11438.630000000121,1048
67,67.0,2158.69,792.0,4.0,3.397,4952.320999999996,5912.32,9296.32,11469.819999999832,1047
68,68.0,2155.97,792.0,4.0,3.397,4940.383000000147,5876.38,9260.96,11431.550000000047,1046
69,69.0,2152.86,788.0,4.001,3.398,4933.119999999879,5876.32,9249.95,11417.469999999972,1045
70,70.0,2150.56,788.0,4.001,3.399,4925.921000000089,5876.32,9218.21,11383.48999999999,1044
71,71.0,2148.19,786.0,4.001,3.4,4918.782999999821,5876.38,9237.31,11400.280000000028,1043
72,72.0,2146.27,784.0,4.001,3.4,4910.319999999832,5840.32,9230.18,11391.14000000013,1042
73,73.0,2143.45,780.0,4.001,3.4,4904.360000000102,5840.36,9217.25,11375.35999999987,1041
74,74.0,2141.06,782.3999999999069,4.001,3.402,4892.344000000041,5840.34,9207.92,11363.719999999972,1040
75,75.0,2137.95,777.0,4.001,3.402,4886.3589999999385,5840.36,9172.06,11324.709999999963,1039
76,76.0,2136.06,775.0,4.001,3.405,4875.560000000056,5804.36,9194.14,11344.790000000037,1038
77,77.0,2133.62,772.8000000000466,4.001,3.404,4868.3589999999385,5804.36,9172.42,11320.800000000047,1037
78,78.0,2131.88,772.8000000000466,4.001,3.404,4862.360000000102,5804.36,9169.49,11316.0,1036
79,79.0,2129.89,774.0,4.001,3.405,4861.158999999752,5804.36,9174.31,11318.879999999888,1035
80,80.0,2127.47,769.1999999999534,4.0,3.406,4850.343999999808,5804.34,9160.03,11302.180000000168,1034
81,81.0,2124.92,769.0,4.001,3.406,4844.360000000102,5804.36,9170.91,11310.520000000019,1033
82,82.0,2122.75,765.6000000000931,4.0,3.407,4832.313000000315,5768.31,9144.8,11282.219999999972,1032
83,83.0,2120.11,768.0,4.0,3.408,4826.360000000102,5768.36,9114.59,11249.35999999987,1031
84,84.0,2129.91,763.219000000041,4.015,3.661,4802.25,5761.0,9132.34,54466.37000000011,1030
85,85.0,2127.72,764.0,3.999,3.742,4808.312999999849,5768.31,9169.44,11322.409999999916,1029
86,86.0,2124.62,764.0,4.0,3.407,4839.543000000063,5768.34,9171.72,11311.030000000028,1028
87,87.0,2120.41,764.3999999999069,3.999,3.408,4832.219000000041,5768.22,9127.75,11262.810000000056,1027
88,88.0,2117.62,758.3999999999069,4.0,3.409,4817.943999999901,5768.34,9135.59,11267.879999999888,1026
89,89.0,2114.84,759.0,4.0,3.41,4808.311999999918,5768.31,9094.5,11224.030000000028,1025
90,90.0,2112.72,760.8000000000466,3.999,3.411,4802.375,5732.38,9088.16,11215.530000000028,1024
91,91.0,2110.78,756.8000000000466,3.999,3.411,4796.375,5732.38,9108.78,11234.280000000028,1023
92,92.0,2108.41,756.0,3.999,3.411,4784.25,5732.25,9085.91,11208.969999999972,1022
93,93.0,2106.41,755.1999999999534,3.999,3.413,4778.344000000041,5732.34,9088.69,11209.719999999972,1021
94,94.0,2103.75,753.0,3.999,3.412,4772.34300000011,5732.34,9078.66,11197.060000000056,1020
95,95.0,2101.62,753.6000000000931,3.999,3.414,4760.34300000011,5696.34,9078.16,11194.5,1019
96,96.0,2099.56,749.6000000000931,3.999,3.413,4754.313000000082,5696.31,9062.0,11176.219999999972,1018
97,97.0,2098.28,752.0,3.999,3.415,4748.344000000041,5696.34,9078.44,11191.409999999916,1017
98,98.0,2096.0,750.0,3.999,3.414,4745.913000000175,5696.31,9059.12,11169.65000000014,1016
99,99.0,2094.28,748.0,3.999,3.414,4738.712999999756,5696.31,9081.31,11190.219999999972,1015
100,100.0,2091.94,746.3999999999069,3.998,3.415,4731.513000000035,5660.31,9059.28,11165.840000000084,1014
101,101.0,2090.56,746.3999999999069,3.998,3.415,4724.34300000011,5660.34,9086.09,11191.319999999832,1013
102,102.0,2088.09,743.0,3.998,3.416,4718.34300000011,5660.34,9047.16,11149.930000000168,1012
103,103.0,2086.38,742.8000000000466,3.998,3.417,4712.344000000041,5660.34,9062.72,11163.819999999832,1011
104,104.0,2084.5,740.8000000000466,3.998,3.417,4706.375,5660.38,9047.25,11146.370000000112,1010
105,105.0,2083.31,740.7999999998137,3.998,3.418,4702.77500000014,5660.38,9066.88,11164.749999999767,1009
106,106.0,5761.88,741.6000000000931,3.998,3.418,4695.575000000186,10026.69,12702.06,14796.060000000056,1008
107,107.0,2076.06,735.0,3.995,3.418,4688.312000000384,5624.31,9027.75,11120.75,1007
109,109.0,201945.21,198976.5496666669,4.271,3.255,73109.98200000031,85109.98,85109.98,216495.8999999999,1005
110,110.0,2101.73,737.6000000000931,3.992,3.422,5074.720000000205,6058.72,9577.95,11704.350000000093,1004
111,111.0,2102.05,743.2000000001863,3.993,3.417,4753.152999999933,5696.35,9160.54,11277.21999999974,1003
112,112.0,2099.23,739.2000000001863,3.993,3.418,4753.154000000097,5696.35,9139.68,11253.53000000026,1002
113,113.0,2095.94,739.2000000001863,3.993,3.419,4742.320999999531,5696.32,9122.08,11232.639999999665,1001
114,114.0,2093.15,739.2000000001863,3.992,3.419,4731.550999999978,5660.35,9119.14,11226.979999999981,1000
115,115.0,2089.91,735.2000000001863,3.993,3.421,4724.222000000067,5660.22,9109.85,11214.460000000428,999
116,116.0,2087.05,735.0,3.993,3.421,4717.151999999769,5660.35,9118.05,11219.75,998
117,117.0,2083.16,733.6000000000931,3.993,3.422,4702.711999999825,5624.31,9084.41,11182.269999999553,997
118,118.0,2080.2,729.6000000000931,3.993,3.423,4694.39000000013,5624.39,9080.39,11178.720000000205,996
119,119.0,2077.16,729.6000000000931,3.993,3.423,4682.350999999791,5624.35,9087.97,11179.779999999795,995
120,120.0,2074.27,732.0,3.993,3.424,4673.920999999624,5624.32,9070.05,11159.040000000037,994
121,121.0,2071.77,732.0,3.993,3.425,4666.752000000328,5588.35,9079.74,11166.170000000391,993
122,122.0,2069.31,728.0,3.993,3.425,4658.344000000041,5588.34,9068.52,11152.579999999609,992
123,123.0,2066.84,726.0,3.993,3.426,4652.342999999877,5588.34,9078.84,11160.450000000186,991
124,124.0,2064.12,724.0,3.993,3.426,4640.35999999987,5588.36,9057.61,11136.370000000112,990
125,125.0,2060.58,722.3999999999069,3.993,3.427,4630.712999999989,5552.31,9045.11,11120.35999999987,989
126,126.0,2058.31,718.3999999999069,3.993,3.428,4622.327999999747,5552.33,9046.38,11119.35999999987,988
127,127.0,2055.8,718.7999999998137,3.993,3.429,4616.35999999987,5552.36,9031.72,11102.240000000224,987
128,128.0,2054.2,716.7999999998137,3.993,3.43,4604.219000000041,5552.22,9046.23,11115.169999999925,986
129,129.0,2051.75,715.2000000001863,3.993,3.43,4598.343999999575,5552.34,9010.27,11076.669999999925,985
130,130.0,2050.05,715.2000000001863,3.993,3.43,4592.35999999987,5516.36,9004.97,11069.700000000186,984
131,131.0,2048.19,715.2000000001863,3.993,3.43,4586.219000000041,5516.22,9003.55,11066.35999999987,983
132,132.0,2046.05,713.0,3.993,3.432,4580.311999999918,5516.31,9014.11,11074.790000000037,982
133,133.0,2054.09,710.4060000004247,4.007,3.685,4543.375,5495.0,8999.78,54257.950000000186,981
